,Lemmas,PoS,Sentiment
3433,paran,VB,Disgust/Fear
3434,genubath,VB,Disgust/Fear
3435,rezon,VB,Disgust/Fear
3436,damascus,VB,Disgust/Fear
3437,clad,VBN,Disgust/Fear
3438,jeroboam,VB,Disgust/Fear
3439,chemosh,VBP,Disgust/Fear
3440,milcom,VB,Disgust/Fear
3441,prince,VB,Disgust/Fear
3442,rehoboam,VB,Disgust/Fear
3443,consulted,VBN,Disgust/Fear
3444,advise,VB,Disgust/Fear
3445,forsook,VBD,Disgust/Fear
3446,whereas,VB,Disgust/Fear
3447,chastised,VBD,Sad/Angry
3448,ahijah,VBG,Disgust/Fear
3449,pull,VB,Disgust/Fear
3450,refresh,VB,Disgust/Fear
3451,lied,VBD,Sad/Angry
3452,disobeyed,VBD,Disgust/Fear
3453,slain,VBD,Disgust/Fear
3454,disguise,VB,Sad/Angry
3455,bury,VBD,Disgust/Fear
3456,root,VB,Disgust/Fear
3457,provoking,VBG,Sad/Angry
3458,tirzah,VB,Disgust/Fear
3459,jeroboam,VBP,Disgust/Fear
3460,nadab,VB,Disgust/Fear
3461,shishak,VBD,Disgust/Fear
3462,abijam,VB,Disgust/Fear
3463,asa,VB,Disgust/Fear
3464,maachah,VB,Disgust/Fear
3465,benhadad,VB,Disgust/Fear
3466,exempted,VBN,Disgust/Fear
3467,diseased,VBN,Disgust/Fear
3468,jehoshaphat,VB,Disgust/Fear
3469,baasha,VB,Disgust/Fear
3470,gibbethon,VB,Disgust/Fear
3471,jehu,VB,Disgust/Fear
3472,elah,VB,Disgust/Fear
3473,drinking,VBG,Disgust/Fear
3474,zimri,VB,Disgust/Fear
3475,ahab,VB,Disgust/Fear
3476,jezebel,VB,Disgust/Fear
3477,hiel,VB,Disgust/Fear
3478,elijah,VB,Disgust/Fear
3479,sustain,VB,Disgust/Fear
3480,remembrance,VB,Disgust/Fear
3481,lose,VBP,Sad/Angry
3482,liveth,VBP,Disgust/Fear
3483,baal,VBP,Disgust/Fear
3484,awaked,VBN,Disgust/Fear
3485,gushed,VBD,Disgust/Fear
3486,licked,VBD,Disgust/Fear
3487,stop,VB,Sad/Angry
3488,withal,VB,Disgust/Fear
3489,thrown,VBP,Disgust/Fear
3490,elisha,VB,Disgust/Fear
3491,escapeth,VBP,Disgust/Fear
3492,kissed,VBN,Happy
3493,plowing,VBG,Disgust/Fear
3494,boiled,VBD,Disgust/Fear
3495,denied,VBD,Sad/Angry
3496,ben-hadad,VB,Disgust/Fear
3497,lost,VBD,Sad/Angry
3498,waited,VBD,Disgust/Fear
3499,disguised,VBD,Sad/Angry
3500,decided,VBD,Disgust/Fear
3501,govern,VBP,Disgust/Fear
3502,witnessed,VBN,Disgust/Fear
3503,ahab,VBP,Disgust/Fear
3504,lick,VB,Disgust/Fear
3505,jezebel,VBD,Disgust/Fear
3506,prophesied,VBN,Disgust/Fear
3507,forbear,VB,Disgust/Fear
3508,persuade,VB,Disgust/Fear
3509,persuade,VBD,Disgust/Fear
3510,joash,VB,Disgust/Fear
3511,feed,VBD,Disgust/Fear
3512,ahaziah,VB,Disgust/Fear
3513,jehoram,VB,Disgust/Fear
3514,moab,VB,Disgust/Fear
3515,sick,VBN,Sad/Angry
3516,view,VB,Disgust/Fear
3517,parted,VBD,Disgust/Fear
3518,asunder,VBP,Disgust/Fear
3519,cleaved,VBD,Disgust/Fear
3520,regard,VBP,Disgust/Fear
3521,red,VBD,Disgust/Fear
3522,beat,VBP,Disgust/Fear
3523,stopped,VBD,Sad/Angry
3524,felled,VBD,Disgust/Fear
3525,shunem,VB,Disgust/Fear
3526,constrained,VBD,Sad/Angry
3527,gehazi,VB,Disgust/Fear
3528,twain,VBP,Disgust/Fear
3529,sneezed,VBD,Disgust/Fear
3530,shred,VBD,Disgust/Fear
3531,wash,VBN,Disgust/Fear
3532,bid,VBN,Disgust/Fear
3533,receiving,VBG,Disgust/Fear
3534,felling,VBG,Disgust/Fear
3535,borrowed,VBN,Disgust/Fear
3536,warned,VBD,Sad/Angry
3537,telleth,VB,Disgust/Fear
3538,horse,VB,Disgust/Fear
3539,samaria,VB,Disgust/Fear
3540,open,VBP,Disgust/Fear
3541,ere,VB,Disgust/Fear
3542,sit,VBP,Disgust/Fear
3543,trode,VBP,Disgust/Fear
3544,such,VB,Disgust/Fear
3545,elisha,VBP,Disgust/Fear
3546,settled,VBD,Disgust/Fear
3547,weepeth,VBP,Disgust/Fear
3548,dash,VBP,Disgust/Fear
3549,rip,VB,Disgust/Fear
3550,hazael,VB,Disgust/Fear
3551,revolted,VBN,Disgust/Fear
3552,zair,VB,Disgust/Fear
3553,sunk,VBD,Disgust/Fear
3554,bidkar,VB,Disgust/Fear
3555,ahaziah,VBP,Disgust/Fear
3556,gur,VB,Disgust/Fear
3557,megiddo,VB,Disgust/Fear
3558,painted,VBD,Disgust/Fear
3559,tired,VBD,Sad/Angry
3560,trode,VBD,Disgust/Fear
3561,dog,VB,Disgust/Fear
3562,jehu,VBP,Disgust/Fear
3563,wanting,VBG,Disgust/Fear
3564,baal,VB,Disgust/Fear
3565,proclaim,VBD,Disgust/Fear
3566,letteth,VBD,Disgust/Fear
3567,executing,VBG,Disgust/Fear
3568,jehoahaz,VB,Disgust/Fear
3569,stole,VBD,Disgust/Fear
3570,enter,VBP,Disgust/Fear
3571,jehoiada,VB,Disgust/Fear
3572,clapped,VBD,Disgust/Fear
3573,athaliah,VB,Disgust/Fear
3574,repair,VB,Disgust/Fear
3575,repaired,VBN,Disgust/Fear
3576,consented,VBD,Disgust/Fear
3577,bored,VBD,Sad/Angry
3578,reckoned,VBD,Disgust/Fear
3579,silla,VB,Disgust/Fear
3580,amaziah,VB,Disgust/Fear
3581,open,VBD,Disgust/Fear
3582,burying,VBG,Disgust/Fear
3583,confirmed,VBN,Disgust/Fear
3584,jehoash,VB,Disgust/Fear
3585,zachariah,VB,Disgust/Fear
3586,judging,VBG,Disgust/Fear
3587,shallum,VB,Disgust/Fear
3588,shallum,VBD,Disgust/Fear
3589,ripped,VBD,Disgust/Fear
3590,pul,VBP,Disgust/Fear
3591,exacted,VBD,Disgust/Fear
3592,pekahiah,VB,Disgust/Fear
3593,pekahiah,VBP,Disgust/Fear
3594,pekah,VBP,Disgust/Fear
3595,hoshea,VB,Disgust/Fear
3596,rezin,VBP,Disgust/Fear
3597,ahaz,VB,Disgust/Fear
3598,syria,VB,Disgust/Fear
3599,elath,VB,Disgust/Fear
3600,kir,VB,Disgust/Fear
3601,urijah,VB,Disgust/Fear
3602,approached,VBD,Disgust/Fear
3603,hezekiah,VB,Disgust/Fear
3604,molten,VB,Disgust/Fear
3605,judah,VBP,Disgust/Fear
3606,assyria,VB,Disgust/Fear
3607,adrammelech,VB,Disgust/Fear
3608,anammelech,VB,Disgust/Fear
3609,hezekiah,VBD,Disgust/Fear
3610,shalmaneser,VBD,Disgust/Fear
3611,hezekiah,VBP,Disgust/Fear
3612,overlaid,VBN,Disgust/Fear
3613,eliakim,VB,Disgust/Fear
3614,shebna,VBD,Disgust/Fear
3615,vain,VBP,Sad/Angry
3616,trust,VBP,Happy
3617,samaria,VBP,Disgust/Fear
3618,isaiah,VB,Disgust/Fear
3619,reprove,VB,Disgust/Fear
3620,blasphemed,VBN,Disgust/Fear
3621,warring,VBG,Sad/Angry
3622,read,VBD,Disgust/Fear
3623,www.holybooks.com,VBN,Disgust/Fear
3624,lord,VBD,Disgust/Fear
3625,scorn,VB,Sad/Angry
3626,shaken,VBD,Sad/Angry
3627,reproached,VBD,Disgust/Fear
3628,confounded,VBN,Disgust/Fear
3629,blasted,VBD,Disgust/Fear
3630,shoot,VBP,Sad/Angry
3631,worshipping,VBG,Happy
3632,sharezer,VB,Disgust/Fear
3633,issue,VB,Disgust/Fear
3634,eunuch,VBN,Disgust/Fear
3635,seduced,VBD,Sad/Angry
3636,wipe,VB,Disgust/Fear
3637,wiping,VBG,Disgust/Fear
3638,amon,VB,Disgust/Fear
3639,josiah,VB,Disgust/Fear
3640,hilkiah,VB,Disgust/Fear
3641,sum,VB,Disgust/Fear
3642,hewn,VB,Disgust/Fear
3643,shaphan,VBD,Disgust/Fear
3644,shaphan,VB,Disgust/Fear
3645,read,VBP,Disgust/Fear
3646,heardest,VBP,Disgust/Fear
3647,wove,VBP,Disgust/Fear
3648,polluted,VBD,Sad/Angry
3649,manasseh,VBP,Disgust/Fear
3650,jehoiakim,VB,Disgust/Fear
3651,taxed,VBD,Disgust/Fear
3652,nebuchadnezzar,VBP,Disgust/Fear
3653,jehoiachin,VB,Disgust/Fear
3654,besieged,VBN,Disgust/Fear
3655,babylon,VB,Disgust/Fear
3656,smith,VB,Disgust/Fear
3657,zedekiah,VB,Disgust/Fear
3658,nebuchadnezzar,VBD,Disgust/Fear
3659,mustered,VBD,Disgust/Fear
3660,gedaliah,VB,Disgust/Fear
3661,mizpah,VB,Disgust/Fear
3662,seraiah,VBD,Disgust/Fear
3663,jered,VBD,Disgust/Fear
3664,mighty,VBN,Disgust/Fear
3665,zidon,VBD,Disgust/Fear
3666,timna,VB,Disgust/Fear
3667,accursed,VBD,Disgust/Fear
3668,amminadab,VB,Disgust/Fear
3669,obed,VBN,Disgust/Fear
3670,raddai,VB,Disgust/Fear
3671,ashur,VBP,Disgust/Fear
3672,seled,VBN,Disgust/Fear
3673,seled,VBD,Disgust/Fear
3674,sheshan,VBP,Disgust/Fear
3675,jarha,VB,Disgust/Fear
3676,maon,VB,Disgust/Fear
3677,shaaph,VBP,Disgust/Fear
3678,sheva,VBP,Disgust/Fear
3679,salma,VB,Disgust/Fear
3680,shobal,VB,Disgust/Fear
3681,eglah,VBG,Disgust/Fear
3682,abia,VB,Disgust/Fear
3683,joram,VB,Disgust/Fear
3684,salathiel,VB,Disgust/Fear
3685,shelomith,VB,Disgust/Fear
3686,reaiah,VB,Disgust/Fear
3687,ezer,VB,Disgust/Fear
3688,granted,VBD,Happy
3689,chelub,VB,Disgust/Fear
3690,tehinnah,VB,Disgust/Fear
3691,mered,VBD,Disgust/Fear
3692,ishbah,VB,Disgust/Fear
3693,heber,VB,Disgust/Fear
3694,hodiah,VBD,Disgust/Fear
3695,er,VBP,Disgust/Fear
3696,mibsam,VB,Disgust/Fear
3697,mishma,VB,Disgust/Fear
3698,hamuel,VB,Disgust/Fear
3699,zacchur,VB,Disgust/Fear
3700,pelatiah,VB,Disgust/Fear
3701,shemaiah,VB,Disgust/Fear
3702,gog,VB,Disgust/Fear
3703,reaia,VB,Disgust/Fear
3704,beerah,VB,Disgust/Fear
3705,helped,VBN,Disgust/Fear
3706,fifty,VBN,Disgust/Fear
3707,zimmah,VB,Disgust/Fear
3708,joah,VB,Disgust/Fear
3709,iddo,VB,Disgust/Fear
3710,zerah,VB,Disgust/Fear
3711,jeaterai,VB,Disgust/Fear
3712,assir,VB,Disgust/Fear
3713,ebiasaph,VB,Disgust/Fear
3714,tahath,VB,Disgust/Fear
3715,uriel,VB,Disgust/Fear
3716,uzziah,VB,Disgust/Fear
3717,zophai,VB,Disgust/Fear
3718,jeroham,VB,Disgust/Fear
3719,libni,VB,Disgust/Fear
3720,uzza,VB,Disgust/Fear
3721,shimea,VB,Disgust/Fear
3722,haggiah,VB,Disgust/Fear
3723,asaiah,VB,Disgust/Fear
3724,ethan,VB,Disgust/Fear
3725,abishua,VB,Disgust/Fear
3726,bukki,VB,Disgust/Fear
3727,uzzi,VB,Disgust/Fear
3728,zerahiah,VB,Disgust/Fear
3729,meraioth,VB,Disgust/Fear
3730,amariah,VB,Disgust/Fear
3731,ahitub,VB,Disgust/Fear
3732,eladah,VB,Disgust/Fear
3733,zabad,VB,Disgust/Fear
3734,shuthelah,VB,Disgust/Fear
3735,telah,VB,Disgust/Fear
3736,tahan,VB,Disgust/Fear
3737,laadan,VB,Disgust/Fear
3738,ammihud,VB,Disgust/Fear
3739,elishama,VB,Disgust/Fear
3740,non,VB,Disgust/Fear
3741,jehoshuah,VB,Disgust/Fear
3742,shua,VB,Disgust/Fear
3743,rapha,VB,Disgust/Fear
3744,manahath,VB,Disgust/Fear
3745,jehoadah,VB,Disgust/Fear
3746,eleasah,VB,Disgust/Fear
3747,azel,VB,Disgust/Fear
3748,ibneiah,VB,Disgust/Fear
3749,berechiah,VB,Disgust/Fear
3750,hitherto,VBP,Disgust/Fear
3751,zechariah,VBP,Disgust/Fear
3752,oversee,VB,Disgust/Fear
3753,employed,VBN,Disgust/Fear
3754,jarah,VB,Disgust/Fear
3755,rephaiah,VB,Disgust/Fear
3756,stripped,VBN,Disgust/Fear
3757,millo,VBN,Disgust/Fear
3758,lifting,VBG,Disgust/Fear
3759,slew,VB,Disgust/Fear
3760,elhanan,VBP,Disgust/Fear
3761,abi-ezer,VBP,Disgust/Fear
3762,sibbecai,VBD,Disgust/Fear
3763,ilai,VBP,Disgust/Fear
3764,maharai,VB,Disgust/Fear
3765,heled,VBD,Disgust/Fear
3766,ithai,VB,Disgust/Fear
3767,abiel,VBP,Disgust/Fear
3768,eliahba,VBP,Disgust/Fear
3769,eliphal,VBP,Disgust/Fear
3770,ahijah,VBP,Disgust/Fear
3771,zabad,VBP,Disgust/Fear
3772,jehiel,VB,Disgust/Fear
3773,joha,VB,Disgust/Fear
3774,eliel,VB,Disgust/Fear
3775,ithmah,VB,Disgust/Fear
3776,hurling,VBG,Disgust/Fear
3777,shooting,VBG,Disgust/Fear
3778,berachah,VB,Disgust/Fear
3779,ismaiah,VB,Disgust/Fear
3780,shephatiah,VBD,Disgust/Fear
3781,obadiah,VB,Disgust/Fear
3782,mishmannah,VBD,Disgust/Fear
3783,elzabad,VBP,Disgust/Fear
3784,overflown,VBN,Disgust/Fear
3785,betray,VB,Sad/Angry
3786,mighty,VBP,Disgust/Fear
3787,expert,VBP,Disgust/Fear
3788,kirjathjearim,VB,Disgust/Fear
3789,sounding,VBG,Disgust/Fear
3790,asaph,VBP,Disgust/Fear
3791,ethan,VBP,Disgust/Fear
3792,excel,VB,Happy
3793,clothed,VBN,Disgust/Fear
3794,zechariah,VB,Disgust/Fear
3795,wrong,VB,Sad/Angry
3796,reproved,VBD,Disgust/Fear
3797,tent,VB,Disgust/Fear
3798,ordain,VB,Disgust/Fear
3799,subdue,VB,Disgust/Fear
3800,settle,VB,Disgust/Fear
3801,becamest,VB,Disgust/Fear
3802,hadoram,VB,Disgust/Fear
3803,congratulate,VB,Happy
3804,abishai,VBP,Disgust/Fear
3805,hire,VB,Disgust/Fear
3806,shophach,VB,Disgust/Fear
3807,wasted,VBD,Sad/Angry
3808,weigh,VB,Disgust/Fear
3809,elhanan,VB,Disgust/Fear
3810,overtaketh,VBP,Disgust/Fear
3811,ornan,VB,Disgust/Fear
3812,cedar,VBP,Disgust/Fear
3813,heed,VBN,Disgust/Fear
3814,baked,VBN,Disgust/Fear
3815,distributed,VBD,Disgust/Fear
3816,jehoiarib,VB,Disgust/Fear
3817,jedaiah,VB,Disgust/Fear
3818,harim,VB,Disgust/Fear
3819,seorim,VB,Disgust/Fear
3820,malchijah,VB,Disgust/Fear
3821,mijamin,VB,Disgust/Fear
3822,hakkoz,VB,Disgust/Fear
3823,abijah,VB,Disgust/Fear
3824,jeshua,VB,Disgust/Fear
3825,shecaniah,VB,Disgust/Fear
3826,eliashib,VB,Disgust/Fear
3827,jakim,VB,Disgust/Fear
3828,huppah,VB,Disgust/Fear
3829,jeshebeab,VB,Disgust/Fear
3830,bilgah,VB,Disgust/Fear
3831,immer,VB,Disgust/Fear
3832,hezir,VB,Disgust/Fear
3833,pethahiah,VB,Disgust/Fear
3834,jehezekel,VB,Disgust/Fear
3835,twentieth,VB,Disgust/Fear
3836,jachin,VB,Disgust/Fear
3837,gamul,VB,Disgust/Fear
3838,delaiah,VB,Disgust/Fear
3839,maaziah,VB,Disgust/Fear
3840,heman,VB,Disgust/Fear
3841,asaph,VB,Disgust/Fear
3842,instructed,VBN,Disgust/Fear
3843,zaccur,VB,Disgust/Fear
3844,izri,VB,Disgust/Fear
3845,nethaniah,VB,Disgust/Fear
3846,bukkiah,VB,Disgust/Fear
3847,jesharelah,VB,Disgust/Fear
3848,jeshaiah,VB,Disgust/Fear
3849,mattaniah,VB,Disgust/Fear
3850,azareel,VB,Disgust/Fear
3851,hashabiah,VB,Disgust/Fear
3852,shubael,VB,Disgust/Fear
3853,mattithiah,VB,Disgust/Fear
3854,jeremoth,VB,Disgust/Fear
3855,hananiah,VB,Disgust/Fear
3856,joshbekashah,VB,Disgust/Fear
3857,hanani,VB,Disgust/Fear
3858,mallothi,VB,Disgust/Fear
3859,eliathah,VB,Disgust/Fear
3860,hothir,VB,Disgust/Fear
3861,giddalti,VB,Disgust/Fear
3862,mahazioth,VB,Disgust/Fear
3863,meshelemiah,VBD,Disgust/Fear
3864,jathniel,VBD,Disgust/Fear
3865,elam,VB,Disgust/Fear
3866,elioenai,VB,Disgust/Fear
3867,shemaiah,VBD,Disgust/Fear
3868,sacar,VBD,Disgust/Fear
3869,peulthai,VB,Disgust/Fear
3870,hilkiah,VBD,Disgust/Fear
3871,tebaliah,VB,Disgust/Fear
3872,zechariah,VBD,Disgust/Fear
3873,shelemiah,VB,Disgust/Fear
3874,zechariah,VBG,Disgust/Fear
3875,shuppim,VB,Disgust/Fear
3876,joel,VB,Disgust/Fear
3877,shebuel,VB,Disgust/Fear
3878,rehabiah,VB,Disgust/Fear
3879,zichri,VB,Disgust/Fear
3880,won,VBD,Happy
3881,samuel,VBD,Disgust/Fear
3882,dodai,VBD,Disgust/Fear
3883,benaiah,VBD,Disgust/Fear
3884,zebadiah,VB,Disgust/Fear
3885,ishmaiah,VBP,Disgust/Fear
3886,iddo,VBP,Disgust/Fear
3887,shimei,VBG,Disgust/Fear
3888,jehdeiah,VBD,Disgust/Fear
3889,pure,VBP,Disgust/Fear
3890,refined,VBN,Disgust/Fear
3891,glistering,VBG,Disgust/Fear
3892,reignest,VB,Disgust/Fear
3893,thank,VBP,Happy
3894,triest,VBP,Disgust/Fear
3895,submitted,VBN,Disgust/Fear
3896,promise,VB,Happy
3897,wisdom,VBP,Happy
3898,knowledge,VBP,Disgust/Fear
3899,huram,VB,Disgust/Fear
3900,timber,VB,Disgust/Fear
3901,cieled,VBD,Disgust/Fear
3902,garnished,VBD,Disgust/Fear
3903,amounting,VBG,Disgust/Fear
3904,wing,VBG,Disgust/Fear
3905,reaching,VBG,Happy
3906,joining,VBG,Disgust/Fear
3907,brim,VB,Disgust/Fear
3908,whereon,VBP,Disgust/Fear
3909,david,VBD,Disgust/Fear
3910,arrayed,VBN,Disgust/Fear
3911,praising,VBG,Happy
3912,thanking,VBG,Disgust/Fear
3913,kneeled,VBD,Disgust/Fear
3914,requiting,VBG,Disgust/Fear
3915,recompensing,VBG,Disgust/Fear
3916,blasting,VBG,Disgust/Fear
3917,besiege,VBP,Disgust/Fear
3918,sore,VBP,Sad/Angry
3919,knowest,VBD,Disgust/Fear
3920,bethink,VBP,Disgust/Fear
3921,effected,VBD,Disgust/Fear
3922,myself,VB,Disgust/Fear
3923,covenanted,VBN,Disgust/Fear
3924,pluck,VBD,Disgust/Fear
3925,huram,VBP,Disgust/Fear
3926,hamathzobah,VB,Disgust/Fear
3927,fifty,VB,Disgust/Fear
3928,david,VBN,Disgust/Fear
3929,ezion-geber,VB,Disgust/Fear
3930,eloth,VB,Disgust/Fear
3931,exceedest,VBP,Disgust/Fear
3932,tarshish,VB,Disgust/Fear
3933,fortified,VBD,Disgust/Fear
3934,resorted,VBN,Disgust/Fear
3935,mahalath,VB,Disgust/Fear
3936,abihail,VBP,Disgust/Fear
3937,dispersed,VBD,Disgust/Fear
3938,michaiah,VBD,Disgust/Fear
3939,rehoboam,VBP,Disgust/Fear
3940,relied,VBD,Disgust/Fear
3941,zerah,VBP,Disgust/Fear
3942,oded,VBN,Disgust/Fear
3943,oded,VBD,Disgust/Fear
3944,renewed,VBD,Disgust/Fear
3945,relied,VBN,Disgust/Fear
3946,stablished,VBD,Disgust/Fear
3947,michaiah,VB,Disgust/Fear
3948,elishama,VBP,Disgust/Fear
3949,shield,VBD,Disgust/Fear
3950,persuaded,VBD,Disgust/Fear
3951,ramoth-gilead,VB,Disgust/Fear
3952,micaiah,VBP,Disgust/Fear
3953,entice,VB,Disgust/Fear
3954,warn,VB,Sad/Angry
3955,trespass,VBP,Disgust/Fear
3956,trespass,VB,Disgust/Fear
3957,rulest,VB,Disgust/Fear
3958,gavest,VB,Disgust/Fear
3959,reward,VBP,Happy
3960,brother,VBN,Disgust/Fear
3961,revolted,VBD,Disgust/Fear
3962,elijah,VBG,Disgust/Fear
3963,azariah,VBP,Disgust/Fear
3964,that,VBP,Disgust/Fear
3965,jehoiada,VBP,Disgust/Fear
3966,dismissed,VBD,Disgust/Fear
3967,hasten,VB,Disgust/Fear
3968,hastened,VBD,Disgust/Fear
3969,wicked,VBD,Sad/Angry
3970,joash,VBP,Disgust/Fear
3971,amaziah,VBP,Disgust/Fear
3972,determined,VBD,Happy
3973,thee,VBD,Disgust/Fear
3974,boast,VB,Disgust/Fear
3975,maaseiah,VB,Disgust/Fear
3976,invented,VBN,Disgust/Fear
3977,fourscore,VBP,Disgust/Fear
3978,withstood,VBP,Disgust/Fear
3979,purpose,VB,Disgust/Fear
3980,intend,VBP,Disgust/Fear
3981,shod,VB,Disgust/Fear
3982,distressed,VBD,Sad/Angry
3983,astonishment,VB,Disgust/Fear
3984,hissing,VBG,Disgust/Fear
3985,mahath,VBP,Disgust/Fear
3986,stiffnecked,VBN,Disgust/Fear
3987,clean,VB,Happy
3988,prepareth,VB,Disgust/Fear
3989,healed,VBD,Disgust/Fear
3990,questioned,VBN,Sad/Angry
3991,cononiah,VBP,Disgust/Fear
3992,kore,VB,Disgust/Fear
3993,win,VB,Happy
3994,purposed,VBN,Disgust/Fear
3995,sennacherib,VB,Disgust/Fear
3996,rail,VB,Disgust/Fear
3997,affright,VB,Disgust/Fear
3998,substance,VB,Disgust/Fear
3999,remove,VBP,Disgust/Fear
4000,err,VB,Disgust/Fear
4001,amon,VBP,Disgust/Fear
4002,declined,VBD,Disgust/Fear
4003,purge,VB,Disgust/Fear
4004,strowed,VBD,Disgust/Fear
4005,cleansed,VBD,Disgust/Fear
4006,meshullam,VB,Disgust/Fear
4007,huldah,VB,Disgust/Fear
4008,humbledst,VB,Disgust/Fear
4009,flayed,VBD,Disgust/Fear
4010,roasted,VBD,Disgust/Fear
4011,busied,VBN,Disgust/Fear
4012,meddling,VBG,Disgust/Fear
4013,condemned,VBD,Sad/Angry
4014,stiffened,VBD,Disgust/Fear
4015,misused,VBD,Disgust/Fear
4016,enjoyed,VBN,Happy
4017,accomplished,VBN,Happy
4018,cyrus,VBP,Disgust/Fear
4019,sheshbazzar,VB,Disgust/Fear
4020,polluted,VBN,Sad/Angry
4021,zerubbabel,VB,Disgust/Fear
4022,weakened,VBD,Sad/Angry
4023,frustrate,VB,Sad/Angry
4024,rehum,VB,Disgust/Fear
4025,shimshai,VB,Disgust/Fear
4026,artaxerxes,VB,Disgust/Fear
4027,rehum,VBD,Disgust/Fear
4028,shimshai,VBD,Disgust/Fear
4029,endamage,VB,Disgust/Fear
4030,maintenance,VBN,Disgust/Fear
4031,meet,VBN,Disgust/Fear
4032,certified,VBD,Disgust/Fear
4033,certify,VBP,Disgust/Fear
4034,paid,VBN,Disgust/Fear
4035,fail,VBP,Sad/Angry
4036,damage,VB,Sad/Angry
4037,helping,VBG,Happy
4038,tatnai,VB,Disgust/Fear
4039,darius,VB,Disgust/Fear
4040,cyrus,VB,Disgust/Fear
4041,pulled,VBN,Disgust/Fear
4042,darius,VBP,Disgust/Fear
4043,ezra,VBP,Disgust/Fear
4044,artaxerxes,VBP,Disgust/Fear
4045,prescribing,VBG,Disgust/Fear
4046,impose,VB,Sad/Angry
4047,banishment,VB,Disgust/Fear
4048,imprisonment,VB,Disgust/Fear
4049,beautify,VB,Happy
4050,extended,VBD,Disgust/Fear
4051,threescore,VBP,Disgust/Fear
4052,seventy,VBP,Disgust/Fear
4053,ahava,VB,Disgust/Fear
4054,viewed,VBD,Disgust/Fear
4055,sherebiah,VB,Disgust/Fear
4056,furthered,VBD,Disgust/Fear
4057,astonied,VBN,Disgust/Fear
4058,punished,VBD,Sad/Angry
4059,escaping,VBG,Happy
4060,shechaniah,VB,Disgust/Fear
4061,forfeited,VBN,Disgust/Fear
4062,ezra,VB,Disgust/Fear
4063,jahaziah,VB,Disgust/Fear
4064,shabbethai,VB,Disgust/Fear
4065,examine,VB,Disgust/Fear
4066,hanani,VBD,Disgust/Fear
4067,wine,VBP,Disgust/Fear
4068,sick,VB,Sad/Angry
4069,tobiah,VB,Disgust/Fear
4070,geshem,VB,Disgust/Fear
4071,zaccur,VBP,Disgust/Fear
4072,melatiah,VB,Disgust/Fear
4073,rehum,VBP,Disgust/Fear
4074,bavai,VBD,Disgust/Fear
4075,repaired,VB,Disgust/Fear
4076,palal,VB,Disgust/Fear
4077,pedaiah,VBP,Disgust/Fear
4078,feeble,VB,Sad/Angry
4079,fortify,VB,Disgust/Fear
4080,revive,VB,Happy
4081,decayed,VBN,Sad/Angry
4082,laboured,VBD,Disgust/Fear
4083,mortgaged,VBN,Disgust/Fear
4084,shook,VBP,Sad/Angry
4085,shaken,VB,Sad/Angry
4086,beside,VBP,Disgust/Fear
4087,mischief,VB,Sad/Angry
4088,sanballat,VB,Disgust/Fear
4089,preach,VB,Disgust/Fear
4090,weakened,VBN,Sad/Angry
4091,pronounced,VBD,Disgust/Fear
4092,reported,VBD,Disgust/Fear
4093,understood,VBN,Disgust/Fear
4094,confessed,VBD,Disgust/Fear
4095,commandedst,VB,Disgust/Fear
4096,bread,VBP,Disgust/Fear
4097,promisedst,VB,Disgust/Fear
4098,forsookest,VBP,Disgust/Fear
4099,swelled,VBD,Disgust/Fear
4100,multipliedst,VBP,Disgust/Fear
4101,deliveredst,VB,Disgust/Fear
4102,withdrew,VBD,Disgust/Fear
4103,sake,VB,Disgust/Fear
4104,jeshua,VBP,Disgust/Fear
4105,parosh,VB,Disgust/Fear
4106,adaiah,VB,Disgust/Fear
4107,amashai,VB,Disgust/Fear
4108,bakbukiah,VB,Disgust/Fear
4109,eber,VBP,Disgust/Fear
4110,recorded,VBD,Disgust/Fear
4111,allied,VBD,Disgust/Fear
4112,obtained,VBN,Disgust/Fear
4113,preparing,VBG,Disgust/Fear
4114,contended,VBD,Disgust/Fear
4115,shelemiah,VBD,Disgust/Fear
4116,lading,VBG,Disgust/Fear
4117,contended,VBN,Disgust/Fear
4118,profaning,VBG,Disgust/Fear
4119,lodged,VBN,Disgust/Fear
4120,hearken,VBD,Disgust/Fear
4121,marrying,VBG,Disgust/Fear
4122,silver,VB,Disgust/Fear
4123,vashti,VBP,Disgust/Fear
4124,altered,VBN,Disgust/Fear
4125,appeased,VBN,Happy
4126,decreed,VBN,Disgust/Fear
4127,shushan,VBG,Disgust/Fear
4128,shushan,VB,Disgust/Fear
4129,obtained,VBD,Disgust/Fear
4130,preferred,VBD,Disgust/Fear
4131,hegai,VBD,Disgust/Fear
4132,mordecai,VB,Disgust/Fear
4133,haman,VBD,Disgust/Fear
4134,reverenced,VBD,Disgust/Fear
4135,perplexed,VBN,Sad/Angry
4136,attend,VB,Disgust/Fear
4137,enlargement,VB,Disgust/Fear
4138,deliverance,VB,Disgust/Fear
4139,knoweth,VBP,Disgust/Fear
4140,bade,VB,Disgust/Fear
4141,fast,VB,Disgust/Fear
4142,esther,VB,Disgust/Fear
4143,queen,VB,Disgust/Fear
4144,zeresh,VB,Disgust/Fear
4145,advanced,VBN,Happy
4146,array,VB,Disgust/Fear
4147,haman,VB,Disgust/Fear
4148,mordecai,VBN,Disgust/Fear
4149,fall,VBN,Disgust/Fear
