,Lemmas,PoS,Sentiment
480,bethink,VB,Disgust/Fear
481,ensue,VB,Disgust/Fear
482,presented,VBN,Disgust/Fear
483,answer,VBP,Disgust/Fear
484,deny,VB,Sad/Angry
485,affirm,VBP,Disgust/Fear
486,avow,VBP,Disgust/Fear
487,dutch,VB,Disgust/Fear
488,interpreted,VBN,Disgust/Fear
489,confessed,VBN,Disgust/Fear
490,offend,VBP,Sad/Angry
491,denied,VBN,Sad/Angry
492,forbidden,VB,Sad/Angry
493,endued,VBD,Disgust/Fear
494,privileged,VBD,Happy
495,daring,VBG,Happy
496,burn,VB,Disgust/Fear
497,proceeded,VBD,Disgust/Fear
498,enable,VB,Disgust/Fear
499,build,VB,Disgust/Fear
500,cast,VB,Disgust/Fear
501,sought,VBD,Disgust/Fear
502,nero,VB,Disgust/Fear
503,set,VB,Disgust/Fear
504,remembered,VBD,Disgust/Fear
505,wept,VBD,Sad/Angry
506,considered,VBD,Disgust/Fear
507,abhorred,VBN,Sad/Angry
508,forsaken,VBN,Disgust/Fear
509,profaned,VBN,Disgust/Fear
510,doth,VB,Disgust/Fear
511,used,VBD,Disgust/Fear
512,commend,VB,Happy
513,urge,VBP,Disgust/Fear
514,thereof,VBP,Disgust/Fear
515,meet,VBP,Disgust/Fear
516,call,VBP,Disgust/Fear
517,marvel,VBP,Happy
518,try,VB,Disgust/Fear
519,faith,VBN,Happy
520,lighting,VBG,Disgust/Fear
521,insert,VB,Disgust/Fear
522,treading,VBG,Disgust/Fear
523,burning,VBG,Disgust/Fear
524,joined,VBD,Disgust/Fear
525,signified,VBN,Disgust/Fear
526,perused,VBN,Disgust/Fear
527,weary,VBP,Sad/Angry
528,need,VBP,Disgust/Fear
529,end,VBP,Disgust/Fear
530,amending,VBG,Disgust/Fear
531,deal,VBP,Disgust/Fear
532,whomever,VB,Disgust/Fear
533,imputed,VBD,Disgust/Fear
534,amend,VB,Disgust/Fear
535,exhort,VB,Disgust/Fear
536,seeth,VBD,Disgust/Fear
537,consider,VB,Disgust/Fear
538,supposed,VBD,Disgust/Fear
539,pope,VBP,Disgust/Fear
540,calling,VBG,Disgust/Fear
541,abolished,VBD,Disgust/Fear
542,burnt,VBD,Disgust/Fear
543,gregorianum,VBP,Disgust/Fear
544,continue,VB,Disgust/Fear
545,removed,VBD,Disgust/Fear
546,observed,VBN,Disgust/Fear
547,happened,VBD,Disgust/Fear
548,confesseth,VBP,Disgust/Fear
549,abolish,VB,Disgust/Fear
550,published,VBN,Disgust/Fear
551,establish,VB,Disgust/Fear
552,ratify,VB,Disgust/Fear
553,heal,VB,Disgust/Fear
554,hope,VBP,Happy
555,correct,VB,Disgust/Fear
556,fit,VBN,Happy
557,throw,VB,Disgust/Fear
558,object,VB,Disgust/Fear
559,tell,VB,Disgust/Fear
560,wished,VBD,Disgust/Fear
561,mended,VBN,Disgust/Fear
562,produced,VBD,Disgust/Fear
563,telling,VBG,Disgust/Fear
564,gal,VBD,Disgust/Fear
565,wished,VBN,Disgust/Fear
566,dared,VBN,Disgust/Fear
567,exhorted,VBD,Disgust/Fear
568,labour,VBN,Disgust/Fear
569,consulted,VBD,Disgust/Fear
570,aver,VB,Disgust/Fear
